truth-value,predicate,data
1.0,'(IMP (NOT  "sepal width")  "class")',"'[{:label \"sepal width\" :colname \"sepal.width\" :f [FPG 4.317344931168437 4.315259162781696 0.26493479298995937]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9999999999006589,'(IMP  "petal lenght"  "class")',"'[{:label \"petal lenght\" :colname \"petal.length\" :f [FPG 1.4452859123972466 1.3158077986828391 0.6171413497643388]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9999999908105416,'(IMP (AND  "sepal lenght"  "petal lenght")  "class")',"'[{:label \"sepal lenght\" :colname \"sepal.length\" :f [FPG 6.923194258067419 6.626582992896292 0.5874920966695383]}, {:label \"petal lenght\" :colname \"petal.length\" :f [FPG 2.679154684973146 2.6506726411294768 0.8054359411826076]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9999931335879502,'(IMP (AND  "petal width"  "petal lenght")  "class")',"'[{:label \"petal width\" :colname \"petal.width\" :f [FPG 2.6486379863042626 2.6607708132941235 0.5315169209530215]}, {:label \"petal lenght\" :colname \"petal.length\" :f [FPG 1.9354069741354085 6.10837047915368 0.8009487560287747]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9999883730287019,'(IMP (AND  "petal width"  "sepal width")  "class")',"'[{:label \"petal width\" :colname \"petal.width\" :f [FPG 0.9037622855614391 0.8876623776499581 0.959749015540469]}, {:label \"sepal width\" :colname \"sepal.width\" :f [FPG 2.26656833951796 2.8480950338605022 0.8449946134775145]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9999839474714939,'(IMP (AND  "petal lenght"  "sepal lenght")  "class")',"'[{:label \"petal lenght\" :colname \"petal.length\" :f [FPG 1.759048220522247 1.6511574757541103 0.4449842168826762]}, {:label \"sepal lenght\" :colname \"sepal.length\" :f [FPG 4.876619080626829 6.066336186422411 0.7012320236272561]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9999719020063913,'(IMP (OR  "petal lenght"  "sepal lenght")  "class")',"'[{:label \"petal lenght\" :colname \"petal.length\" :f [FPG 2.4754276949016916 2.467192826691832 0.804356416336308]}, {:label \"sepal lenght\" :colname \"sepal.length\" :f [FPG 4.872992362197929 4.860381420120004 0.8367028090559806]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.99980961214675,'(IMP  "petal width"  "class")',"'[{:label \"petal width\" :colname \"petal.width\" :f [FPG 0.27920874930413897 0.4602932781121504 0.12894888264391058]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9994343634405468,'(IMP (AND  "sepal lenght"  "sepal width")  "class")',"'[{:label \"sepal lenght\" :colname \"sepal.length\" :f [FPG 4.739405911163037 4.613684330630818 0.5965931522353168]}, {:label \"sepal width\" :colname \"sepal.width\" :f [FPG 3.1394874862522935 3.258260896040931 0.3728762383021834]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9986036820991309,'(IMP (AND  "sepal width"  "petal lenght")  "class")',"'[{:label \"sepal width\" :colname \"sepal.width\" :f [FPG 2.7712501272842647 3.065063612843144 0.7971105101535111]}, {:label \"petal lenght\" :colname \"petal.length\" :f [FPG 1.557415501231333 1.1763577208105596 0.5558745719548305]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.998049697418991,'(IMP  "sepal width"  "class")',"'[{:label \"sepal width\" :colname \"sepal.width\" :f [FPG 3.4538744035260667 3.439836361658081 0.06435977139496396]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
0.9966205037482244,'(IMP (AND  "sepal width"  "petal width")  "class")',"'[{:label \"sepal width\" :colname \"sepal.width\" :f [FPG 3.575779961209231 3.827098821458307 0.527102896758727]}, {:label \"petal width\" :colname \"petal.width\" :f [FPG 0.4664584075815117 0.28757883873262235 0.4160759039820262]}, {:label \"class\" :colname \"variety\" :f [[map-nominal {{Setosa=1.0}} 0.0]]}]'"
