truth-value,predicate,data
0.9999999824432392,(NOT "ca"),"{""fitness"":0.9999999824432392,""children"":[{""cname"":""citric_acid"",""f"":{""gamma"":1.5680258476193858,""beta"":1.4545645708126953,""m"":0.49346211531720763,""type"":""fpg""},""id"":""1fe1e4df-f614-4728-98ac-93159aacb8a9"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""ca"",""description"":""""}],""id"":""3a111daa-e447-49a4-9fab-ea0992031e88"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9999913494159225,(NOT (OR (AND "q" "va" "a") (AND "q" "va" "d"))),"{""fitness"":0.9999913494159225,""children"":[{""fitness"":1.1044221873701687E-6,""children"":[{""fitness"":1.5482110248673122E-6,""children"":[{""cname"":""quality"",""f"":{""gamma"":10.074728706458934,""beta"":6.012904562669158,""m"":0.2767182399226136,""type"":""fpg""},""id"":""5f8aa70a-a56e-4b35-967a-b95dd425bc95"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""q"",""description"":""""},{""cname"":""volatile_acidity"",""f"":{""gamma"":1.9361788501923423,""beta"":1.7755258568559573,""m"":0.7746855709521875,""type"":""fpg""},""id"":""10d63615-aa5d-48f9-be55-93e6ce302fde"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""va"",""description"":""""},{""cname"":""alcohol"",""f"":{""gamma"":12.562238180771434,""beta"":12.32818115561387,""m"":0.2561345328364072,""type"":""fpg""},""id"":""438ac5bf-a5d0-43bf-9c27-9cb49f4f1dc5"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""a"",""description"":""""}],""id"":""2f16874e-9bf3-4eee-b147-6760749691e6"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":6.606331531114663E-7,""children"":[{""cname"":""quality"",""f"":{""gamma"":9.605352980049142,""beta"":5.306200587355283,""m"":0.16360139139245677,""type"":""fpg""},""id"":""a65db71c-e0e9-41e4-9c94-44cf5239bffd"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""q"",""description"":""""},{""cname"":""volatile_acidity"",""f"":{""gamma"":1.9153910861137913,""beta"":0.32725767495377,""m"":0.08351381146634118,""type"":""fpg""},""id"":""371023af-fb71-49ec-bd01-c73b486010c4"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""va"",""description"":""""},{""cname"":""density"",""f"":{""gamma"":1.9626051032127227,""beta"":1.7523241883902538,""m"":0.40185694436755504,""type"":""fpg""},""id"":""e9a85028-9165-4719-9fa5-51e04ef7f910"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""d"",""description"":""""}],""id"":""e5d4de47-ff68-427b-bae9-f3033ba3ed3f"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""6ee8560c-006e-4886-a1bf-2e90aa5641cc"",""type"":""OR"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""fbf205df-e6ac-49c9-941f-5fa817b173a8"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9999546630722292,(IMP (NOT (NOT "q")) (NOT (EQV "rs" "va"))),"{""fitness"":0.9999546630722292,""children"":[{""fitness"":0.005020917140648451,""children"":[{""fitness"":0.9949790828593515,""children"":[{""cname"":""quality"",""f"":{""gamma"":11.973044493446299,""beta"":11.275904746862981,""m"":0.8818253907748537,""type"":""fpg""},""id"":""c60b8adb-5b40-49f6-b665-6d50e3b49bd9"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""q"",""description"":""""}],""id"":""089ff464-aad2-4c22-b120-4b83d0aeea20"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""b16cb418-4b98-43fb-899d-c1a68236f355"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":0.24354343827892966,""children"":[{""fitness"":0.7564565617210703,""children"":[{""cname"":""residual_sugar"",""f"":{""gamma"":3.460709117736311,""beta"":1.4383575202812309,""m"":0.868867501421459,""type"":""fpg""},""id"":""b3a9ef08-9e88-4b15-919b-6a461b8ee6cc"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""rs"",""description"":""""},{""cname"":""volatile_acidity"",""f"":{""gamma"":2.2683819242050394,""beta"":1.4416095328489615,""m"":0.30512940136879774,""type"":""fpg""},""id"":""d3d096d6-8e16-472e-801b-d6e4ded69346"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""va"",""description"":""""}],""leftID"":""b3a9ef08-9e88-4b15-919b-6a461b8ee6cc"",""righID"":""d3d096d6-8e16-472e-801b-d6e4ded69346"",""id"":""c75850ba-f500-4f3f-afca-e2ad0999ee46"",""type"":""EQV"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""d6fcab0a-18b5-4d57-b484-3719953465d4"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""leftID"":""b16cb418-4b98-43fb-899d-c1a68236f355"",""righID"":""d6fcab0a-18b5-4d57-b484-3719953465d4"",""id"":""c3018914-8a59-43a2-bf90-79b89274b846"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9997808672556316,(IMP "d" (IMP (NOT "fa") (AND "c" "fa" "a"))),"{""fitness"":0.9997808672556316,""children"":[{""cname"":""density"",""f"":{""gamma"":1.2255175706022559,""beta"":1.1846337721998625,""m"":0.679963328004579,""type"":""fpg""},""id"":""ba55bdf1-2752-4e79-ae55-4a500b120a68"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""d"",""description"":""""},{""fitness"":0.2243184097208415,""children"":[{""fitness"":0.963539767854108,""children"":[{""cname"":""fixed_acidity"",""f"":{""gamma"":11.661842659885147,""beta"":8.79206703768466,""m"":0.5845766736921728,""type"":""fpg""},""id"":""87d13190-39ff-4ba3-98f4-8d0d12581f23"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""fa"",""description"":""""}],""id"":""bf618cbb-207d-484c-95af-3790b40ab416"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":0.14637504360137948,""children"":[{""cname"":""chlorides"",""f"":{""gamma"":1.377598158784427,""beta"":0.22708137741385626,""m"":0.059500605487187386,""type"":""fpg""},""id"":""fe392a93-b168-4f85-9482-9637501a6e71"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""c"",""description"":""""},{""cname"":""fixed_acidity"",""f"":{""gamma"":8.131498464107997,""beta"":7.153822654881872,""m"":0.06018920422067464,""type"":""fpg""},""id"":""2a47e9fe-ac1e-40d1-afa1-52a0ed7a1ac7"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""fa"",""description"":""""},{""cname"":""alcohol"",""f"":{""gamma"":9.809465718235955,""beta"":8.822468775201074,""m"":0.5894663392125097,""type"":""fpg""},""id"":""6771343b-df06-4e14-87e9-dc2c43fe9daf"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""a"",""description"":""""}],""id"":""809ceb66-8b89-42d1-8878-c82838cf3b14"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""leftID"":""bf618cbb-207d-484c-95af-3790b40ab416"",""righID"":""809ceb66-8b89-42d1-8878-c82838cf3b14"",""id"":""abb224c8-43ea-42a1-a29a-ccb675fbfc5e"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""leftID"":""ba55bdf1-2752-4e79-ae55-4a500b120a68"",""righID"":""abb224c8-43ea-42a1-a29a-ccb675fbfc5e"",""id"":""fea4c573-f47c-4dba-b9a2-eff06c451463"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9997268684594667,(IMP "ca" "q"),"{""fitness"":0.9997268684594667,""children"":[{""cname"":""citric_acid"",""f"":{""gamma"":1.6536593862272932,""beta"":1.506059406221527,""m"":0.4395960042987185,""type"":""fpg""},""id"":""9d5ada87-8f74-430b-a0f6-bdd7c2d67f0f"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""ca"",""description"":""""},{""cname"":""quality"",""f"":{""gamma"":6.7809251510208854,""beta"":3.5694717464636287,""m"":0.039991891151546444,""type"":""fpg""},""id"":""d5deeccc-a3dc-4f37-afdf-c4c1ac3cfc19"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""q"",""description"":""""}],""leftID"":""9d5ada87-8f74-430b-a0f6-bdd7c2d67f0f"",""righID"":""d5deeccc-a3dc-4f37-afdf-c4c1ac3cfc19"",""id"":""75477f7a-5c1b-4f89-a4e9-4475abcacc95"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9994314174273178,(OR "a" "tsd" (OR (NOT "a") "d" (AND "va" "rs" "fa"))),"{""fitness"":0.9994314174273178,""children"":[{""cname"":""alcohol"",""f"":{""gamma"":15.020371112625384,""beta"":15.134392282513609,""m"":0.06967834611386603,""type"":""fpg""},""id"":""0fe4a52c-30aa-4098-b4c8-5aa168fbb613"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""a"",""description"":""""},{""cname"":""total_sulfur_dioxide"",""f"":{""gamma"":250.58474467248976,""beta"":205.81581833618478,""m"":0.1556721647602458,""type"":""fpg""},""id"":""9de398a0-7d6c-4b9a-b5f6-1c5ffcebf5df"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""tsd"",""description"":""""},{""fitness"":1.0,""children"":[{""fitness"":1.0,""children"":[{""cname"":""alcohol"",""f"":{""gamma"":9.975835601445121,""beta"":8.957064013287654,""m"":0.5584943989493432,""type"":""fpg""},""id"":""b2ee539b-7e28-46e6-80b4-54f5bae6dbd1"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""a"",""description"":""""}],""id"":""13e47492-3ded-4663-b68e-cfa33e1e7989"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""cname"":""density"",""f"":{""gamma"":1.4736736646337403,""beta"":1.2779943091452677,""m"":0.3193195668122486,""type"":""fpg""},""id"":""23bd055e-ba40-4683-b623-ab5d12e7607d"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""d"",""description"":""""},{""fitness"":1.9925320673672454E-4,""children"":[{""cname"":""volatile_acidity"",""f"":{""gamma"":0.6333365773751619,""beta"":0.3873728969984942,""m"":0.5555559567276992,""type"":""fpg""},""id"":""3b81222b-a407-461d-9d30-02f4bbaa60fd"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""va"",""description"":""""},{""cname"":""residual_sugar"",""f"":{""gamma"":12.06361782581609,""beta"":1.3366571938700225,""m"":0.6861674794782132,""type"":""fpg""},""id"":""92ed0631-ed46-41b2-acec-4326cf5dfa0e"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""rs"",""description"":""""},{""cname"":""fixed_acidity"",""f"":{""gamma"":5.359001859936713,""beta"":5.091043319068699,""m"":0.38005713913113104,""type"":""fpg""},""id"":""2041d59d-d223-45ea-8d69-b12198197316"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""fa"",""description"":""""}],""id"":""4022f9de-46bf-41f7-9297-2ff1698c6183"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""20f2d337-df4f-4d04-b0f3-232fc32a84da"",""type"":""OR"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""bffd96d2-0c76-4778-be72-b018157fc4af"",""type"":""OR"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9987602127280308,(OR (AND (IMP "rs" "fa") (AND "va" "c" "rs")) (NOT (AND "q" "rs")) (EQV (AND "ca" "fa") (IMP "q" "tsd"))),"{""fitness"":0.9987602127280308,""children"":[{""fitness"":1.65762941422127E-5,""children"":[{""fitness"":1.0,""children"":[{""cname"":""residual_sugar"",""f"":{""gamma"":16.281740852143095,""beta"":15.287081962341198,""m"":0.9170884070305536,""type"":""fpg""},""id"":""1567f981-ccbd-4f36-a714-fd4999a1204a"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""rs"",""description"":""""},{""cname"":""fixed_acidity"",""f"":{""gamma"":12.321385445901798,""beta"":4.86474727496445,""m"":0.1353886842087465,""type"":""fpg""},""id"":""dc40c3e0-23b2-43e4-8027-0e93a686fc5e"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""fa"",""description"":""""}],""leftID"":""1567f981-ccbd-4f36-a714-fd4999a1204a"",""righID"":""dc40c3e0-23b2-43e4-8027-0e93a686fc5e"",""id"":""197e9eb8-909a-4862-b231-9b49daf653e3"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":2.747735274891551E-10,""children"":[{""cname"":""volatile_acidity"",""f"":{""gamma"":0.7393568201605505,""beta"":0.42672049960862335,""m"":0.928023514534376,""type"":""fpg""},""id"":""d59cf8ed-333b-4baf-a780-c3395b5b1ba9"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""va"",""description"":""""},{""cname"":""chlorides"",""f"":{""gamma"":0.7973373534003474,""beta"":0.1357913814907499,""m"":0.048359451833331124,""type"":""fpg""},""id"":""936ddf4a-7ffb-4651-ad0b-c57a721a3c85"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""c"",""description"":""""},{""cname"":""residual_sugar"",""f"":{""gamma"":6.749093406987469,""beta"":2.090526546382305,""m"":0.5860483705087924,""type"":""fpg""},""id"":""442c9fe6-1d94-4086-b52b-6eb882dd8cb0"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""rs"",""description"":""""}],""id"":""1d45071b-e8ba-4c26-874c-ef3e88c3b792"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""9cd62154-de84-4d2f-a82d-09378e6a6b07"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":0.9999999999999821,""children"":[{""fitness"":1.7860974248520885E-14,""children"":[{""cname"":""quality"",""f"":{""gamma"":8.89653813568004,""beta"":5.996338179395385,""m"":0.19123552442847402,""type"":""fpg""},""id"":""b2bb5ca8-a2fc-49cf-8a04-3fd1af7fa859"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""q"",""description"":""""},{""cname"":""residual_sugar"",""f"":{""gamma"":14.620997410838068,""beta"":3.2553718259602475,""m"":0.2591752970896395,""type"":""fpg""},""id"":""50de8b31-5536-4fb0-8d61-8a4874bead43"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""rs"",""description"":""""}],""id"":""5b7653f2-9c7f-4fd7-95f2-e8e1cadf23ac"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""640f83a2-e62f-43b2-b3d2-e04f6407451a"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":0.46240316488043043,""children"":[{""fitness"":0.10725352383471565,""children"":[{""cname"":""citric_acid"",""f"":{""gamma"":1.4144009201046666,""beta"":0.8755318861004737,""m"":0.5360931642310794,""type"":""fpg""},""id"":""2601f4d5-4f09-4a24-81f9-a3748f8ae92b"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""ca"",""description"":""""},{""cname"":""fixed_acidity"",""f"":{""gamma"":9.637784484968222,""beta"":8.00941807288424,""m"":0.8473244515762722,""type"":""fpg""},""id"":""99270377-aa12-4ebb-b621-6299f6363be7"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""fa"",""description"":""""}],""id"":""87af5878-0d40-4cde-80da-9e9cbebdb5e5"",""type"":""AND"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""},{""fitness"":0.6765302535273477,""children"":[{""cname"":""quality"",""f"":{""gamma"":9.691007446682198,""beta"":5.426934919813712,""m"":0.8017650213594767,""type"":""fpg""},""id"":""03189031-85ec-44e5-a124-937ad07a44aa"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""q"",""description"":""""},{""cname"":""total_sulfur_dioxide"",""f"":{""gamma"":51.274130614186966,""beta"":47.52355022924548,""m"":0.20040338956665804,""type"":""fpg""},""id"":""d62b055b-1deb-4077-bc8b-468c5e9269e5"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""tsd"",""description"":""""}],""leftID"":""03189031-85ec-44e5-a124-937ad07a44aa"",""righID"":""d62b055b-1deb-4077-bc8b-468c5e9269e5"",""id"":""6c518af4-5e03-4fe0-a3ee-ea7adcc34f9b"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""leftID"":""87af5878-0d40-4cde-80da-9e9cbebdb5e5"",""righID"":""6c518af4-5e03-4fe0-a3ee-ea7adcc34f9b"",""id"":""32c34dca-09a4-44a9-af77-bbe9b7b1eb24"",""type"":""EQV"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""id"":""8080f676-779d-4b14-a451-0cc986dd56c0"",""type"":""OR"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9984485783261079,(NOT "fa"),"{""fitness"":0.9984485783261079,""children"":[{""cname"":""fixed_acidity"",""f"":{""gamma"":15.140949816121267,""beta"":14.94786133016157,""m"":0.2649889200474428,""type"":""fpg""},""id"":""bb9d6052-98fa-45fb-93dc-ccc941d2ff7d"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""fa"",""description"":""""}],""id"":""bef79e3f-158b-4691-8d1d-a588f3cfb46f"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9968955608778189,(IMP "va" (EQV "tsd" "c")),"{""fitness"":0.9968955608778189,""children"":[{""cname"":""volatile_acidity"",""f"":{""gamma"":1.8921548408922733,""beta"":2.198347778877436,""m"":0.3543118154418058,""type"":""fpg""},""id"":""49deaa31-60f2-4e87-a4c8-dd687567acc8"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""va"",""description"":""""},{""fitness"":0.520932267149639,""children"":[{""cname"":""total_sulfur_dioxide"",""f"":{""gamma"":156.57574852145146,""beta"":79.6447427697754,""m"":0.8466216795057565,""type"":""fpg""},""id"":""d6a35d17-a378-46d1-9689-0a0db73ca219"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""tsd"",""description"":""""},{""cname"":""chlorides"",""f"":{""gamma"":1.2123561036918593,""beta"":0.021864717143252353,""m"":0.27562820680228173,""type"":""fpg""},""id"":""cd276228-8b90-434b-ada7-36e71cb2a0a0"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""c"",""description"":""""}],""leftID"":""d6a35d17-a378-46d1-9689-0a0db73ca219"",""righID"":""cd276228-8b90-434b-ada7-36e71cb2a0a0"",""id"":""d27ad367-ce1b-4aa3-a8aa-216400b26d37"",""type"":""EQV"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}],""leftID"":""49deaa31-60f2-4e87-a4c8-dd687567acc8"",""righID"":""d27ad367-ce1b-4aa3-a8aa-216400b26d37"",""id"":""5db9104d-6137-4f33-a959-811f9fbb32f2"",""type"":""IMP"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
0.9946167029823789,(NOT "rs"),"{""fitness"":0.9946167029823789,""children"":[{""cname"":""residual_sugar"",""f"":{""gamma"":10.770942416656455,""beta"":10.280396776466116,""m"":0.32474201043981077,""type"":""fpg""},""id"":""4176c3f4-263f-4958-9f61-7de482c2ac1d"",""type"":""STATE"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""label"":""rs"",""description"":""""}],""id"":""c260ffca-58b9-4953-8658-0eef329eb774"",""type"":""NOT"",""editable"":true,""byGenerator"":""f0e39cea-a418-4df4-b42c-fecac7620a0d"",""description"":""""}"
