fixed_acidity,volatile_acidity,citric_acid
11.6,0.580,0.66
10.4,0.610,0.49
7.4,1.185,0.00
10.4,0.440,0.42
8.3,1.020,0.02
7.6,1.580,0.00
6.8,0.815,0.00
7.3,0.980,0.05
7.1,0.875,0.05
6.7,0.760,0.02
7.4,0.590,0.08
5.7,1.130,0.09
8.8,0.610,0.30
4.6,0.520,0.15
8.3,0.675,0.26
8.3,0.625,0.20
5.0,1.020,0.04
9.2,0.520,1.00
7.6,0.680,0.02
7.3,0.550,0.03
7.9,0.885,0.03
6.9,1.090,0.06
8.4,0.635,0.36
7.0,0.975,0.04
8.1,0.870,0.00
12.5,0.460,0.49
10.5,0.590,0.49
9.9,0.500,0.24
8.2,0.915,0.27
10.1,0.935,0.22
8.3,0.845,0.01
7.1,0.840,0.02
7.5,0.380,0.48
9.1,0.765,0.04
7.5,1.115,0.10
6.9,0.390,0.24
7.5,0.685,0.07
11.6,0.470,0.44
7.3,0.350,0.24
7.1,0.470,0.00
8.4,0.670,0.19
12.0,0.630,0.50
6.5,0.580,0.00
6.5,0.880,0.03
8.8,0.955,0.05
10.2,0.230,0.37
6.0,0.330,0.32
8.1,0.730,0.00
6.5,0.670,0.00
6.3,1.020,0.00
8.2,0.780,0.00
8.5,0.400,0.40
7.5,0.755,0.00
6.8,0.680,0.09
8.0,0.830,0.27
6.6,0.610,0.00
6.4,0.530,0.09
6.2,0.785,0.00
6.7,1.040,0.08
5.6,0.620,0.03
7.2,0.580,0.54
6.8,0.910,0.06
6.9,0.480,0.20
7.4,0.700,0.00
7.8,0.880,0.00
7.8,0.760,0.04
7.4,0.700,0.00
7.4,0.660,0.00
7.9,0.600,0.06
7.5,0.500,0.36
6.7,0.580,0.08
7.5,0.500,0.36
5.6,0.615,0.00
7.8,0.610,0.29
8.9,0.620,0.18
8.9,0.620,0.19
8.1,0.560,0.28
7.6,0.390,0.31
7.9,0.430,0.21
8.5,0.490,0.11
6.3,0.390,0.16
7.6,0.410,0.24
7.9,0.430,0.21
7.1,0.710,0.00
6.7,0.675,0.07
8.3,0.655,0.12
5.2,0.320,0.25
7.3,0.450,0.36
7.3,0.450,0.36
8.1,0.660,0.22
6.8,0.670,0.02
7.7,0.935,0.43
8.7,0.290,0.52
6.4,0.400,0.23
5.6,0.310,0.37
8.8,0.660,0.26
8.6,0.380,0.36
7.7,0.620,0.04
10.2,0.420,0.57
7.5,0.630,0.12
7.8,0.590,0.18
8.8,0.400,0.40
7.7,0.690,0.49
7.0,0.735,0.05
7.2,0.725,0.05
7.2,0.725,0.05
7.5,0.520,0.11
6.6,0.705,0.07
9.3,0.320,0.57
7.7,0.670,0.23
7.7,0.690,0.22
9.7,0.320,0.54
8.8,0.410,0.64
8.8,0.410,0.64
6.7,0.750,0.12
6.2,0.450,0.20
7.8,0.430,0.70
7.4,0.500,0.47
7.3,0.670,0.26
6.9,0.550,0.15
7.7,0.490,0.26
9.3,0.390,0.44
7.0,0.620,0.08
7.9,0.520,0.26
8.6,0.490,0.29
7.7,0.490,0.26
6.8,0.775,0.00
7.0,0.500,0.25
7.6,0.900,0.06
8.1,0.575,0.22
7.2,0.490,0.24
8.1,0.575,0.22
7.8,0.410,0.68
6.2,0.630,0.31
8.1,0.785,0.52
7.8,0.560,0.19
8.4,0.620,0.09
8.4,0.600,0.10
7.8,0.560,0.19
7.3,1.070,0.09
7.3,0.695,0.00
8.0,0.710,0.00
7.8,0.500,0.17
9.0,0.620,0.04
